Total,One or more types of computing devices,Desktop/laptop,Only Desktop/laptop,Smartphone,Only Smartphone,Tablet/portable,Only Tablet/portable,Other computing device,Only other,No computer,>10K,> $10k With Internet subscription ,> $10k!!Without an Internet subscription,Total!!$10k to $19.9k,$10k to $19.9k!!With Internet subscription ,$10k to  $19.9k!!Without an Internet subscription,"$20,000 to $34,999",$20k to $34.9k!!With Internet subscription,$20k to $34.9k!!Without an Internet subscription,"$35,000 to $49,999",$35k to $49.9k!!With Internet subscription,$35k to $49.9k!!Without an Internet subscription,$50k to $74.9k,"$50k to $74,999!!With Internet subscription",$50k to $74..9k!!Without an Internet subscription,>$75k ,>$75k!!With Internet subscription ,">$75,000!!Without an Internet subscription",id,Geographic Area Name
74975,67947,59858,4480,59679,4302,46822,531,1664,84,7028,3927,2439,1488,8153,5173,2980,10452,8530,1922,12323,10637,1686,17180,15849,1331,22940,22169,771,12015,"Charlotte County, Florida"
62293,57105,48393,7108,46134,4682,35198,1189,1125,0,5188,5691,3600,2091,8445,5349,3096,12934,10639,2295,11595,9965,1630,11902,10831,1071,11726,11118,608,12017,"Citrus County, Florida"
75958,73268,64658,3448,67508,6176,52465,393,1877,93,2690,3111,2729,382,4976,3658,1318,11827,11020,807,9455,8281,1174,16034,15252,782,30555,29529,1026,12019,"Clay County, Florida"
144172,134294,116323,7996,119594,9845,91723,1561,5560,71,9878,4722,2760,1962,10388,7158,3230,18336,14722,3614,18887,16096,2791,24528,21788,2740,67311,62815,4496,12021,"Collier County, Florida"
25678,24000,18876,1435,21567,3215,15912,573,499,0,1678,1665,978,687,3166,1974,1192,4276,2945,1331,4130,3545,585,4611,3861,750,7830,7270,560,12023,"Columbia County, Florida"
367238,342926,282083,14725,319945,46170,208979,1711,20642,76,24312,23112,17118,5994,34215,23998,10217,54681,45416,9265,51636,45099,6537,73307,68137,5170,130287,124017,6270,12031,"Duval County, Florida"
118820,109334,95368,5983,99780,8304,70700,935,1934,0,9486,8011,5400,2611,8770,5871,2899,20644,15185,5459,20736,16060,4676,22392,20280,2112,38267,36758,1509,12033,"Escambia County, Florida"
41274,36375,31301,3168,31611,2369,24414,376,1190,0,4899,2385,1436,949,3706,2000,1706,5263,3171,2092,5014,3761,1253,8600,7212,1388,16306,13746,2560,12035,"Flagler County, Florida"
76163,71041,64337,6479,60706,3822,49317,711,3557,38,5122,6322,4388,1934,8574,6039,2535,14502,12247,2255,11127,9709,1418,16004,15125,879,19634,18968,666,12053,"Hernando County, Florida"
40573,34959,28685,2830,29817,4088,20652,580,744,0,5614,2459,1523,936,5366,3516,1850,10499,7098,3401,5326,4356,970,7958,7624,334,8965,7922,1043,12055,"Highlands County, Florida"
540142,514288,436693,16229,485628,51901,348871,3774,17732,0,25854,32362,23153,9209,51380,36875,14505,78125,63850,14275,69288,61415,7873,94838,88380,6458,214149,207358,6791,12057,"Hillsborough County, Florida"
57636,51246,46644,4057,41809,2934,33278,308,6283,94,6390,2719,1362,1357,6411,3551,2860,9529,7224,2305,7048,5861,1187,9752,8551,1201,22177,21184,993,12061,"Indian River County, Florida"
136366,127494,109000,7544,114094,10139,92529,1751,2623,0,8872,7741,6078,1663,12419,9027,3392,27165,22138,5027,18089,16504,1585,25080,23680,1400,45872,44502,1370,12069,"Lake County, Florida"
281222,264914,226378,12747,241459,23461,182561,3320,18992,183,16308,17520,12673,4847,26013,16962,9051,41106,34011,7095,40002,35410,4592,54356,49941,4415,102225,97747,4478,12071,"Lee County, Florida"
113390,106790,94209,3796,101385,8463,72579,138,2481,0,6600,10736,7415,3321,13212,9432,3780,16185,14008,2177,15792,14642,1150,17133,15800,1333,40332,38736,1596,12073,"Leon County, Florida"
150814,142268,124945,8387,126558,8812,101058,1619,7506,0,8546,6645,4871,1774,12054,9472,2582,22675,18197,4478,23329,19842,3487,26862,24247,2615,59249,55541,3708,12081,"Manatee County, Florida"
143441,127543,108861,11464,108551,13011,75295,1378,2726,0,15898,11199,6987,4212,16971,12360,4611,27686,21450,6236,23199,18903,4296,25817,24037,1780,38569,36695,1874,12083,"Marion County, Florida"
63070,59088,50430,3590,53055,4780,40100,712,1979,0,3982,3418,2583,835,5222,4095,1127,10002,8644,1358,7472,6100,1372,10931,9638,1293,26025,24918,1107,12085,"Martin County, Florida"
895801,837519,689232,21322,803344,111627,512790,3991,35648,129,58282,77063,41809,35254,93593,55683,37910,142261,103133,39128,114747,91447,23300,158503,133588,24915,309634,286754,22880,12086,"Miami-Dade County, Florida"
31362,30369,26697,1740,27943,2613,18944,25,347,0,993,1201,784,417,1814,1014,800,4052,2827,1225,4569,3971,598,4302,4073,229,15424,15128,296,12087,"Monroe County, Florida"
32624,31315,27190,1724,28817,2330,20959,191,1084,0,1309,2412,1514,898,2756,2157,599,3037,2635,402,4158,3717,441,6135,5939,196,14126,13284,842,12089,"Nassau County, Florida"
79570,75461,65572,3321,70849,6842,54416,455,2074,0,4109,4734,3407,1327,5886,3315,2571,12060,8984,3076,9240,8471,769,15115,14241,874,32535,31251,1284,12091,"Okaloosa County, Florida"
458157,436659,379406,10121,417882,37474,304402,2634,13569,39,21498,29359,21053,8306,36668,25128,11540,69090,58183,10907,62337,54609,7728,83242,78240,5002,177461,170225,7236,12095,"Orange County, Florida"
102705,97741,82652,2982,91843,9456,65128,1002,3582,33,4964,5864,4928,936,9466,6038,3428,16939,12640,4299,18608,15918,2690,19559,18029,1530,32269,30782,1487,12097,"Osceola County, Florida"
552286,522553,447478,22680,482173,46540,360444,5829,16356,102,29733,34882,25949,8933,45687,33023,12664,75023,59388,15635,69056,61394,7662,97949,89543,8406,229689,217674,12015,12099,"Palm Beach County, Florida"
205128,186401,169346,10844,166998,9434,133466,1870,5254,0,18727,10718,6761,3957,22588,13284,9304,31875,23555,8320,31042,26194,4848,38463,36113,2350,70442,66769,3673,12101,"Pasco County, Florida"
405892,370430,326329,24301,332556,27040,249608,3920,9330,125,35462,25895,15288,10607,42299,28540,13759,67380,49828,17552,57000,50108,6892,70557,63902,6655,142761,134192,8569,12103,"Pinellas County, Florida"
241171,216983,173662,11841,195583,25616,141084,2521,12773,44,24188,16643,9662,6981,23004,12526,10478,38091,23767,14324,38644,29637,9007,49340,36991,12349,75449,64623,10826,12105,"Polk County, Florida"
27927,24878,18444,1222,21414,4186,13684,1219,456,0,3049,1927,1340,587,4538,2569,1969,5906,5201,705,4313,3572,741,4982,4583,399,6261,5914,347,12107,"Putnam County, Florida"
90109,85629,79144,4106,79234,4055,62081,641,3357,0,4480,3609,2776,833,4594,3442,1152,11151,8614,2537,8478,6527,1951,14523,12537,1986,47754,45827,1927,12109,"St. Johns County, Florida"
118768,113599,97208,4815,104603,8581,79304,861,3231,0,5169,6688,4611,2077,12019,8268,3751,17752,15030,2722,19065,17994,1071,23162,22282,880,40082,38512,1570,12111,"St. Lucie County, Florida"
63891,60536,52899,2448,56805,3821,45453,585,1386,0,3355,2541,2100,441,2941,2583,358,6930,5454,1476,9186,7616,1570,12953,12127,826,29340,27921,1419,12113,"Santa Rosa County, Florida"
183721,171380,150011,11577,150133,12540,115489,2173,4840,67,12341,9292,7326,1966,13945,9311,4634,26861,21506,5355,22209,19447,2762,37520,33916,3604,73894,69744,4150,12115,"Sarasota County, Florida"
179274,171687,156048,7086,161046,8930,126450,1057,6210,0,7587,8607,6333,2274,11266,8253,3013,21407,16626,4781,20334,16660,3674,35745,33224,2521,81915,77830,4085,12117,"Seminole County, Florida"
62854,58614,54504,5942,48464,2372,41659,286,2652,0,4240,2374,1883,491,5947,3957,1990,10035,8830,1205,9139,8052,1087,13915,12715,1200,21444,21063,381,12119,"Sumter County, Florida"
218423,204073,170798,13454,183317,21564,126888,2501,4252,123,14350,14945,8936,6009,19682,13360,6322,37719,28245,9474,35561,28478,7083,42572,37650,4922,67944,63323,4621,12127,"Volusia County, Florida"
28770,26716,23395,1033,25060,1176,20617,397,759,91,2054,1673,793,880,1600,763,837,4438,3734,704,4324,3706,618,4601,4456,145,12134,12057,77,12131,"Walton County, Florida"
27525,25654,22430,1021,24081,1845,18919,95,1857,0,1871,1266,972,294,1514,1309,205,4176,3276,900,4090,3010,1080,4841,4523,318,11638,10972,666,13013,"Barrow County, Georgia"
35506,33497,27565,1222,31042,3713,22414,768,827,0,2009,2687,1683,1004,2130,1296,834,6053,3706,2347,4911,3852,1059,6131,4998,1133,13594,12023,1571,13015,"Bartow County, Georgia"
57905,50225,37039,2139,46756,9120,31461,369,1683,79,7680,7917,4914,3003,7412,4092,3320,10952,8612,2340,7526,5948,1578,8454,7524,930,15644,14868,776,13021,"Bibb County, Georgia"
27097,24349,19477,810,22820,3900,15489,240,277,0,2748,2023,1234,789,3842,2297,1545,4864,3469,1395,4585,3705,880,4523,3977,546,7260,6905,355,13031,"Bulloch County, Georgia"
41197,36367,28656,1002,34490,4674,25174,476,1089,0,4830,3315,2338,977,3674,2499,1175,6973,4861,2112,6048,4717,1331,6669,6086,583,14518,13657,861,13045,"Carroll County, Georgia"
24722,22000,18696,1717,19821,1486,15142,223,307,0,2722,810,743,67,1521,661,860,4557,3653,904,3701,3402,299,5212,4785,427,8921,8494,427,13047,"Catoosa County, Georgia"
107921,101090,82629,2295,96285,12908,69248,614,2710,0,6831,8374,6501,1873,8217,5721,2496,18096,14714,3382,14219,13145,1074,18525,16397,2128,40490,39069,1421,13051,"Chatham County, Georgia"
89974,87696,80919,2278,83879,3275,68388,954,3753,0,2278,4196,3335,861,5215,4685,530,8439,7396,1043,9846,9280,566,13473,12941,532,48805,47603,1202,13057,"Cherokee County, Georgia"
49698,46141,41883,1836,43583,2671,30628,101,469,0,3557,6080,4893,1187,6151,4944,1207,8760,6566,2194,7577,7090,487,7423,6846,577,13707,13219,488,13059,"Clarke County, Georgia"
96286,89596,70753,3286,84383,13808,51706,535,1527,0,6690,7391,4338,3053,8257,5863,2394,18595,13488,5107,16217,12534,3683,20092,17065,3027,25734,22450,3284,13063,"Clayton County, Georgia"
283094,276380,253738,6756,265658,15156,201888,751,6810,0,6714,11354,8927,2427,12115,10247,1868,27465,23216,4249,31959,29081,2878,51549,49759,1790,148652,143897,4755,13067,"Cobb County, Georgia"
47167,44082,38566,1175,41805,1952,37229,490,1433,42,3085,1423,883,540,2745,1551,1194,4333,3927,406,4167,3661,506,8575,7187,1388,25924,24481,1443,13073,"Columbia County, Georgia"
52114,48157,40891,1597,45693,4767,35473,160,2085,0,3957,1863,1163,700,3862,2082,1780,6360,5053,1307,6216,4832,1384,10373,9214,1159,23440,21902,1538,13077,"Coweta County, Georgia"
287001,269348,223811,7924,255971,29247,182049,1637,9107,81,17653,15521,11084,4437,21315,14400,6915,38874,29457,9417,36881,31256,5625,49467,45250,4217,124943,120374,4569,13089,"DeKalb County, Georgia"
33717,29913,21272,2154,26831,6786,14918,194,1016,0,3804,5139,3190,1949,4147,2888,1259,5314,4067,1247,6749,5033,1716,5994,4877,1117,6374,5717,657,13095,"Dougherty County, Georgia"
49534,48036,38553,995,45939,5627,34073,417,1146,0,1498,2389,1664,725,4290,3131,1159,8344,6397,1947,5625,5022,603,9141,8112,1029,19745,18485,1260,13097,"Douglas County, Georgia"
39366,36968,34503,964,34918,1517,30381,444,1479,0,2398,703,347,356,1915,935,980,3042,2359,683,4135,3246,889,5782,5513,269,23789,23353,436,13113,"Fayette County, Georgia"
34672,29331,21903,963,27356,5783,18338,316,443,20,5341,3226,1732,1494,4395,1968,2427,9003,6253,2750,3420,2995,425,5990,5368,622,8638,8334,304,13115,"Floyd County, Georgia"
81353,79380,74840,1932,75602,2764,65695,574,3328,60,1973,2018,1724,294,2444,1882,562,5458,4536,922,6755,6060,695,10514,10053,461,54164,53624,540,13117,"Forsyth County, Georgia"
417157,392237,349282,10202,377153,28669,277864,1412,10991,0,24920,28264,20575,7689,28463,18714,9749,45633,36183,9450,44199,38952,5247,73774,68708,5066,196824,189450,7374,13121,"Fulton County, Georgia"
34634,31445,25797,1902,28584,4140,20668,376,1240,0,3189,2207,1415,792,2604,1789,815,6772,4313,2459,4289,3404,885,5795,5261,534,12967,12512,455,13127,"Glynn County, Georgia"
297658,285143,256189,6464,272511,18546,212988,1696,7964,0,12515,13208,8837,4371,15105,11043,4062,34136,27146,6990,37891,33215,4676,53545,49253,4292,143773,138183,5590,13135,"Gwinnett County, Georgia"
64990,60554,49825,2467,56097,6159,42971,259,1395,0,4436,2884,1750,1134,4862,3055,1807,9214,7443,1771,9462,8158,1304,11767,10618,1149,26801,26308,493,13139,"Hall County, Georgia"
75926,73627,68049,2766,68563,3667,50053,449,1402,0,2299,1284,799,485,4446,2659,1787,8743,6494,2249,9119,8004,1115,14898,12549,2349,37436,34404,3032,13151,"Henry County, Georgia"
58155,54954,46171,1448,52522,5568,37541,489,2639,0,3201,2747,2023,724,4072,2031,2041,9427,8208,1219,9566,8070,1496,9199,8663,536,23144,22046,1098,13153,"Houston County, Georgia"
23640,22022,19220,452,20611,1737,17361,182,765,0,1618,308,203,105,1129,522,607,3348,2687,661,2083,1996,87,5484,5107,377,11288,10698,590,13157,"Jackson County, Georgia"
41734,32910,27237,1599,30086,3946,17872,434,487,0,8824,8672,2191,6481,4972,2162,2810,7247,3249,3998,3683,2591,1092,6978,4821,2157,10182,8611,1571,13185,"Lowndes County, Georgia"
72862,65456,50913,2237,60732,9294,41058,585,1585,0,7406,8581,4913,3668,7734,4992,2742,12173,9360,2813,9169,7463,1706,14599,13436,1163,20606,19668,938,13215,"Muscogee County, Georgia"
38436,37405,33077,1093,35271,2462,27728,420,577,0,1031,3652,3217,435,1871,1389,482,5527,4940,587,5206,4741,465,8194,7889,305,13986,13617,369,13217,"Newton County, Georgia"
53630,51104,45237,899,49352,4383,38992,62,2121,0,2526,1651,1152,499,2864,2278,586,5729,3857,1872,6760,5687,1073,11177,10668,509,25449,24751,698,13223,"Paulding County, Georgia"
70534,62122,45925,2544,57371,11021,38741,754,3561,0,8412,8290,5024,3266,9727,6405,3322,13867,10650,3217,9517,6970,2547,12767,10633,2134,16366,15238,1128,13245,"Richmond County, Georgia"
31460,30252,25220,752,28531,2977,19938,75,1131,0,1208,1276,1134,142,1994,1378,616,5282,3981,1301,3689,2970,719,6248,5511,737,12971,12304,667,13247,"Rockdale County, Georgia"
25659,22671,17625,968,20934,3770,12561,429,93,0,2988,2004,420,1584,2237,964,1273,5508,3396,2112,5229,3976,1253,4569,3113,1456,6112,5386,726,13255,"Spalding County, Georgia"
25417,22573,15758,1279,20659,4349,12945,217,521,80,2844,2164,1549,615,4602,3874,728,3666,2229,1437,3447,2223,1224,4032,3408,624,7506,6336,1170,13285,"Troup County, Georgia"
26895,23224,18915,1267,20500,2884,15977,407,442,0,3671,2715,1596,1119,3111,1705,1406,5746,4352,1394,3601,2997,604,5256,4731,525,6466,6029,437,13295,"Walker County, Georgia"
32624,29843,25057,1074,28252,2804,22628,176,502,0,2781,1417,1042,375,2949,2548,401,4497,2715,1782,3394,3015,379,6347,5968,379,14020,13789,231,13297,"Walton County, Georgia"
36658,31640,24093,1691,29084,5244,17013,373,3154,0,5018,1741,564,1177,4398,2499,1899,7795,5757,2038,6170,5200,970,6555,6219,336,9999,9904,95,13313,"Whitfield County, Georgia"
71565,61539,50087,5046,53632,5341,42033,1090,1197,0,10026,7079,4146,2933,5696,3583,2113,9742,6979,2763,9063,6020,3043,10014,7070,2944,29971,26341,3630,15001,"Hawaii County, Hawaii"
308208,286338,249837,9036,269251,19891,213039,2560,7868,155,21870,14297,9613,4684,14408,7549,6859,28138,20039,8099,30247,26107,4140,49803,44872,4931,171315,164306,7009,15003,"Honolulu County, Hawaii"
22685,20378,17744,1033,18783,1326,13589,434,350,0,2307,989,725,264,1565,922,643,2628,1660,968,2357,2047,310,2973,2793,180,12173,11922,251,15007,"Kauai County, Hawaii"
52794,48777,41433,1509,45748,4603,33571,740,1338,0,4017,1726,942,784,2344,1921,423,5936,3800,2136,6145,4691,1454,7892,6679,1213,28751,26424,2327,15009,"Maui County, Hawaii"
178712,172131,160425,6932,160241,4985,128804,2054,8632,0,6581,10980,8300,2680,10673,7120,3553,23458,18473,4985,21941,20144,1797,34374,31705,2669,77286,75227,2059,16001,"Ada County, Idaho"
30635,28781,24317,1300,26564,2638,19999,204,1181,39,1854,2014,1000,1014,2792,2264,528,5032,4244,788,5268,4452,816,5514,5020,494,10015,9852,163,16005,"Bannock County, Idaho"
40224,38175,32633,1384,35809,2552,29152,300,800,0,2049,1927,1699,228,2850,1667,1183,5570,4614,956,6937,6315,622,7828,7494,334,15112,14694,418,16019,"Bonneville County, Idaho"
74520,70667,59782,3656,64197,5531,51562,695,1646,0,3853,3062,2454,608,6216,3464,2752,12758,10898,1860,12210,10681,1529,18725,17764,961,21549,20730,819,16027,"Canyon County, Idaho"
64955,59065,50074,2897,54274,5378,40383,690,1367,78,5890,3896,2690,1206,5696,3576,2120,8723,6692,2031,11112,9373,1739,13034,10936,2098,22494,21772,722,16055,"Kootenai County, Idaho"
32041,29162,24127,756,26303,3216,19239,525,446,0,2879,2292,978,1314,3124,2391,733,4789,3352,1437,5250,4690,560,7271,6872,399,9315,8892,423,16083,"Twin Falls County, Idaho"
26397,23013,19217,1349,20582,1865,15529,517,613,75,3384,1914,680,1234,2423,1247,1176,3673,2858,815,3338,2899,439,5718,5144,574,9331,8921,410,17001,"Adams County, Illinois"
84290,78733,68871,3231,73163,5074,54108,1038,1665,0,5557,10586,8123,2463,8005,5471,2534,11713,8706,3007,9180,7665,1515,15461,13514,1947,29345,27763,1582,17019,"Champaign County, Illinois"
1981796,1807902,1525026,63845,1693495,183608,1201232,14344,66980,595,173894,144662,91445,53217,158268,96890,61378,269745,199557,70188,227217,185644,41573,325625,288543,37082,856279,811067,45212,17031,"Cook County, Illinois"
38849,37110,32817,1041,34495,2721,26954,438,740,0,1739,1695,1584,111,4281,3261,1020,5360,4447,913,4658,4072,586,7391,6836,555,15464,14944,520,17037,"DeKalb County, Illinois"
345714,328790,299943,10789,308355,15008,255945,2191,10129,0,16924,13837,10526,3311,14278,9684,4594,27438,21720,5718,31631,27877,3754,50273,46887,3386,208257,201744,6513,17043,"DuPage County, Illinois"
183633,172564,149458,6927,161409,14315,124815,969,3915,155,11069,7029,4523,2506,8953,6334,2619,19298,14230,5068,21206,17262,3944,30635,27791,2844,96512,93486,3026,17089,"Kane County, Illinois"
40642,36080,29621,2203,32295,3613,24732,706,176,0,4562,3304,1795,1509,3919,1890,2029,7437,4861,2576,5197,4264,933,6176,5829,347,14609,13665,944,17091,"Kankakee County, Illinois"
40716,39158,36472,974,37275,1582,32910,213,869,0,1558,788,325,463,1848,796,1052,2256,1611,645,3285,2866,419,6665,6470,195,25874,25302,572,17093,"Kendall County, Illinois"
246620,234195,209691,10185,218789,13013,180100,1345,6640,0,12425,9663,7501,2162,14641,10388,4253,25533,20228,5305,20283,18033,2250,37519,34057,3462,138981,135060,3921,17097,"Lake County, Illinois"
44714,40209,31234,1820,37140,5618,25608,405,638,0,4505,2125,1780,345,4721,3076,1645,8034,6138,1896,6556,5237,1319,8417,7507,910,14861,14226,635,17099,"LaSalle County, Illinois"
114544,109953,97825,4474,101567,4782,86256,1188,2429,0,4591,3551,2656,895,4448,2968,1480,10013,8256,1757,10357,9479,878,22901,21442,1459,63274,62489,785,17111,"McHenry County, Illinois"
65998,62986,56430,1884,59641,4178,45262,349,1326,0,3012,6968,3256,3712,4288,2608,1680,8873,6895,1978,5044,4466,578,11752,10602,1150,29073,28281,792,17113,"McLean County, Illinois"
44562,39157,31124,2545,35318,4944,24448,422,1602,0,5405,2978,1956,1022,4724,3338,1386,7478,4730,2748,7071,6050,1021,7989,6910,1079,14322,13643,679,17115,"Macon County, Illinois"
108977,99224,84137,6470,88599,8190,68900,1085,2706,144,9753,7458,4862,2596,9370,6659,2711,15002,11594,3408,13720,11392,2328,21513,19926,1587,41914,40476,1438,17119,"Madison County, Illinois"
71506,64925,51696,2156,60531,9581,41118,487,1386,0,6581,6616,3412,3204,7005,4339,2666,9723,7761,1962,8490,7530,960,14505,13145,1360,25167,23151,2016,17143,"Peoria County, Illinois"
61009,55189,44953,2332,50319,6151,35722,836,1340,0,5820,3482,1825,1657,6146,3393,2753,10283,8528,1755,8913,7726,1187,11219,9891,1328,20966,19881,1085,17161,"Rock Island County, Illinois"
104803,95493,76493,5503,86388,14390,58580,844,2755,55,9310,8874,3499,5375,8797,5299,3498,16050,10459,5591,11924,9684,2240,20422,16858,3564,38736,35289,3447,17163,"St. Clair County, Illinois"
83006,76429,61907,3417,70180,10055,51342,810,2227,0,6577,6142,3316,2826,7089,4451,2638,11120,7433,3687,9607,7291,2316,13500,11256,2244,35548,33117,2431,17167,"Sangamon County, Illinois"
54123,48285,38882,2300,43938,6299,32343,674,1107,74,5838,2631,1365,1266,4073,2721,1352,6748,4803,1945,8392,7223,1169,12023,10643,1380,20256,19039,1217,17179,"Tazewell County, Illinois"
30166,24786,19819,1693,22249,3849,12820,368,554,0,5380,3025,2081,944,3281,1682,1599,5559,3344,2215,5107,4499,608,4917,3888,1029,8277,7583,694,17183,"Vermilion County, Illinois"
231647,220388,195847,8008,205737,13910,168772,1598,5037,125,11259,7547,4911,2636,9325,6645,2680,22283,17105,5178,21945,18556,3389,38133,34226,3907,132414,128060,4354,17197,"Will County, Illinois"
27815,22809,15370,944,20872,4985,13213,421,622,0,5006,1769,1100,669,4382,2018,2364,5694,4355,1339,4098,3412,686,4399,3586,813,7473,6810,663,17199,"Williamson County, Illinois"
114337,104242,83321,5832,94465,11986,69583,1546,1890,56,10095,7171,5097,2074,11918,8547,3371,20316,16499,3817,13795,11828,1967,22386,20488,1898,38751,36950,1801,17201,"Winnebago County, Illinois"
147638,135591,112854,6674,124098,14371,93921,1426,2875,89,12047,8042,4999,3043,13378,8468,4910,23030,17938,5092,23115,20393,2722,28663,26190,2473,51410,48661,2749,18003,"Allen County, Indiana"
31891,27993,23669,699,25602,2411,20820,432,840,0,3898,1419,605,814,2291,909,1382,4853,3057,1796,3893,3447,446,6961,6340,621,12474,12361,113,18005,"Bartholomew County, Indiana"
24808,23528,22173,911,22339,324,18302,0,377,0,1280,null,#VALUE!,null,null,#VALUE!,null,null,#VALUE!,null,null,#VALUE!,null,null,#VALUE!,null,null,#VALUE!,null,18011,"Boone County, Indiana"
45905,42569,35077,2049,38462,4354,29565,576,749,0,3336,2009,815,1194,3559,1605,1954,7049,4917,2132,7481,5598,1883,9100,7272,1828,16707,15243,1464,18019,"Clark County, Indiana"
45311,40470,34638,2103,36614,3431,26879,517,762,0,4841,4444,2822,1622,5779,3605,2174,9483,6874,2609,5984,4427,1557,7961,7240,721,11660,11102,558,18035,"Delaware County, Indiana"
73660,66826,53499,2969,61103,9019,43571,932,1804,0,6834,4147,3679,468,4815,3164,1651,10539,7898,2641,10755,8821,1934,16810,14895,1915,26594,24127,2467,18039,"Elkhart County, Indiana"
30300,28457,23851,1382,26356,2752,19297,148,757,0,1843,811,562,249,2961,1654,1307,2984,1873,1111,4171,3652,519,6052,4911,1141,13321,12228,1093,18043,"Floyd County, Indiana"
26923,23694,18466,1746,20205,3330,14388,258,887,43,3229,1799,906,893,3428,2123,1305,4813,3111,1702,4890,3981,909,5390,4421,969,6603,5995,608,18053,"Grant County, Indiana"
122876,119943,112872,1648,115914,4092,100000,328,3947,0,2933,2489,2102,387,4592,3345,1247,9282,7406,1876,10062,9434,628,18678,17059,1619,77773,76547,1226,18057,"Hamilton County, Indiana"
29605,27986,23774,1251,25468,2775,20152,219,407,0,1619,847,511,336,1835,812,1023,3914,2704,1210,2719,2120,599,6544,5745,799,13746,12799,947,18059,"Hancock County, Indiana"
60368,58917,53151,1828,54813,2986,46876,593,1287,0,1451,1226,906,320,2329,1773,556,4731,3872,859,7167,6240,927,11721,10466,1255,33194,31716,1478,18063,"Hendricks County, Indiana"
35139,32794,27267,1995,29459,3546,20091,310,656,37,2345,2090,1165,925,3549,2254,1295,5084,3501,1583,4642,3573,1069,7191,6272,919,12583,11142,1441,18067,"Howard County, Indiana"
57504,54724,47899,2078,51062,4173,41627,382,1487,0,2780,2301,1528,773,2410,1641,769,8147,6595,1552,6558,5900,658,12218,11483,735,25870,25261,609,18081,"Johnson County, Indiana"
30798,28537,23308,1715,25641,2562,20164,304,505,0,2261,1272,873,399,2217,1279,938,4304,3000,1304,5107,3769,1338,7121,5968,1153,10777,10439,338,18085,"Kosciusko County, Indiana"
