id,county,state
1003,Baldwin County,Alabama
1015,Calhoun County,Alabama
1043,Cullman County,Alabama
1049,DeKalb County,Alabama
1051,Elmore County,Alabama
1055,Etowah County,Alabama
1069,Houston County,Alabama
1073,Jefferson County,Alabama
1077,Lauderdale County,Alabama
1081,Lee County,Alabama
1083,Limestone County,Alabama
1089,Madison County,Alabama
1095,Marshall County,Alabama
1097,Mobile County,Alabama
1101,Montgomery County,Alabama
1103,Morgan County,Alabama
1115,St. Clair County,Alabama
1117,Shelby County,Alabama
1121,Talladega County,Alabama
1125,Tuscaloosa County,Alabama
1127,Walker County,Alabama
2020,Anchorage Municipality,Alaska
2090,Fairbanks North Star Borough,Alaska
2170,Matanuska-Susitna Borough,Alaska
4001,Apache County,Arizona
4003,Cochise County,Arizona
4005,Coconino County,Arizona
4013,Maricopa County,Arizona
4015,Mohave County,Arizona
4017,Navajo County,Arizona
4019,Pima County,Arizona
4021,Pinal County,Arizona
4025,Yavapai County,Arizona
4027,Yuma County,Arizona
5007,Benton County,Arkansas
5031,Craighead County,Arkansas
5045,Faulkner County,Arkansas
5051,Garland County,Arkansas
5069,Jefferson County,Arkansas
5085,Lonoke County,Arkansas
5119,Pulaski County,Arkansas
5125,Saline County,Arkansas
5131,Sebastian County,Arkansas
5143,Washington County,Arkansas
5145,White County,Arkansas
6001,Alameda County,California
6007,Butte County,California
6013,Contra Costa County,California
6017,El Dorado County,California
6019,Fresno County,California
6023,Humboldt County,California
6025,Imperial County,California
6029,Kern County,California
6031,Kings County,California
6033,Lake County,California
6037,Los Angeles County,California
6039,Madera County,California
6041,Marin County,California
6045,Mendocino County,California
6047,Merced County,California
6053,Monterey County,California
6055,Napa County,California
6057,Nevada County,California
6059,Orange County,California
6061,Placer County,California
6065,Riverside County,California
6067,Sacramento County,California
6071,San Bernardino County,California
6073,San Diego County,California
6075,San Francisco County,California
6077,San Joaquin County,California
6079,San Luis Obispo County,California
6081,San Mateo County,California
6083,Santa Barbara County,California
6085,Santa Clara County,California
6087,Santa Cruz County,California
6089,Shasta County,California
6095,Solano County,California
6097,Sonoma County,California
6099,Stanislaus County,California
6101,Sutter County,California
6107,Tulare County,California
6111,Ventura County,California
6113,Yolo County,California
6115,Yuba County,California
8001,Adams County,Colorado
8005,Arapahoe County,Colorado
8013,Boulder County,Colorado
8014,Broomfield County,Colorado
8031,Denver County,Colorado
8035,Douglas County,Colorado
8041,El Paso County,Colorado
8059,Jefferson County,Colorado
8069,Larimer County,Colorado
8077,Mesa County,Colorado
8101,Pueblo County,Colorado
8123,Weld County,Colorado
9001,Fairfield County,Connecticut
9003,Hartford County,Connecticut
9005,Litchfield County,Connecticut
9007,Middlesex County,Connecticut
9009,New Haven County,Connecticut
9011,New London County,Connecticut
9013,Tolland County,Connecticut
9015,Windham County,Connecticut
10001,Kent County,Delaware
10003,New Castle County,Delaware
10005,Sussex County,Delaware
11001,District of Columbia,District of Columbia
12001,Alachua County,Florida
12005,Bay County,Florida
12009,Brevard County,Florida
12011,Broward County,Florida
12015,Charlotte County,Florida
12017,Citrus County,Florida
12019,Clay County,Florida
12021,Collier County,Florida
12023,Columbia County,Florida
12031,Duval County,Florida
12033,Escambia County,Florida
12035,Flagler County,Florida
12053,Hernando County,Florida
12055,Highlands County,Florida
12057,Hillsborough County,Florida
12061,Indian River County,Florida
12069,Lake County,Florida
12071,Lee County,Florida
12073,Leon County,Florida
12081,Manatee County,Florida
12083,Marion County,Florida
12085,Martin County,Florida
12086,Miami-Dade County,Florida
12087,Monroe County,Florida
12089,Nassau County,Florida
12091,Okaloosa County,Florida
12095,Orange County,Florida
12097,Osceola County,Florida
12099,Palm Beach County,Florida
12101,Pasco County,Florida
12103,Pinellas County,Florida
12105,Polk County,Florida
12107,Putnam County,Florida
12109,St. Johns County,Florida
12111,St. Lucie County,Florida
12113,Santa Rosa County,Florida
12115,Sarasota County,Florida
12117,Seminole County,Florida
12119,Sumter County,Florida
12127,Volusia County,Florida
12131,Walton County,Florida
13013,Barrow County,Georgia
13015,Bartow County,Georgia
13021,Bibb County,Georgia
13031,Bulloch County,Georgia
13045,Carroll County,Georgia
13047,Catoosa County,Georgia
13051,Chatham County,Georgia
13057,Cherokee County,Georgia
13059,Clarke County,Georgia
13063,Clayton County,Georgia
13067,Cobb County,Georgia
13073,Columbia County,Georgia
13077,Coweta County,Georgia
13089,DeKalb County,Georgia
13095,Dougherty County,Georgia
13097,Douglas County,Georgia
13113,Fayette County,Georgia
13115,Floyd County,Georgia
13117,Forsyth County,Georgia
13121,Fulton County,Georgia
13127,Glynn County,Georgia
13135,Gwinnett County,Georgia
13139,Hall County,Georgia
13151,Henry County,Georgia
13153,Houston County,Georgia
13157,Jackson County,Georgia
13185,Lowndes County,Georgia
13215,Muscogee County,Georgia
13217,Newton County,Georgia
13223,Paulding County,Georgia
13245,Richmond County,Georgia
13247,Rockdale County,Georgia
13255,Spalding County,Georgia
13285,Troup County,Georgia
13295,Walker County,Georgia
13297,Walton County,Georgia
13313,Whitfield County,Georgia
15001,Hawaii County,Hawaii
15003,Honolulu County,Hawaii
15007,Kauai County,Hawaii
15009,Maui County,Hawaii
16001,Ada County,Idaho
16005,Bannock County,Idaho
16019,Bonneville County,Idaho
16027,Canyon County,Idaho
16055,Kootenai County,Idaho
16083,Twin Falls County,Idaho
17001,Adams County,Illinois
17019,Champaign County,Illinois
17031,Cook County,Illinois
17037,DeKalb County,Illinois
17043,DuPage County,Illinois
17089,Kane County,Illinois
17091,Kankakee County,Illinois
17093,Kendall County,Illinois
17097,Lake County,Illinois
17099,LaSalle County,Illinois
17111,McHenry County,Illinois
17113,McLean County,Illinois
17115,Macon County,Illinois
17119,Madison County,Illinois
17143,Peoria County,Illinois
17161,Rock Island County,Illinois
17163,St. Clair County,Illinois
17167,Sangamon County,Illinois
17179,Tazewell County,Illinois
17183,Vermilion County,Illinois
17197,Will County,Illinois
17199,Williamson County,Illinois
17201,Winnebago County,Illinois
18003,Allen County,Indiana
18005,Bartholomew County,Indiana
18011,Boone County,Indiana
18019,Clark County,Indiana
18035,Delaware County,Indiana
18039,Elkhart County,Indiana
18043,Floyd County,Indiana
18053,Grant County,Indiana
18057,Hamilton County,Indiana
18059,Hancock County,Indiana
18063,Hendricks County,Indiana
18067,Howard County,Indiana
18081,Johnson County,Indiana
18085,Kosciusko County,Indiana
18089,Lake County,Indiana
18091,LaPorte County,Indiana
18095,Madison County,Indiana
18097,Marion County,Indiana
18105,Monroe County,Indiana
18109,Morgan County,Indiana
18127,Porter County,Indiana
18141,St. Joseph County,Indiana
18157,Tippecanoe County,Indiana
18163,Vanderburgh County,Indiana
18167,Vigo County,Indiana
18177,Wayne County,Indiana
19013,Black Hawk County,Iowa
19049,Dallas County,Iowa
19061,Dubuque County,Iowa
19103,Johnson County,Iowa
19113,Linn County,Iowa
19153,Polk County,Iowa
19155,Pottawattamie County,Iowa
19163,Scott County,Iowa
19169,Story County,Iowa
19193,Woodbury County,Iowa
20015,Butler County,Kansas
20045,Douglas County,Kansas
20091,Johnson County,Kansas
20103,Leavenworth County,Kansas
20161,Riley County,Kansas
20173,Sedgwick County,Kansas
20177,Shawnee County,Kansas
20209,Wyandotte County,Kansas
21015,Boone County,Kentucky
21029,Bullitt County,Kentucky
21037,Campbell County,Kentucky
21047,Christian County,Kentucky
21059,Daviess County,Kentucky
21067,Fayette County,Kentucky
21093,Hardin County,Kentucky
21111,Jefferson County,Kentucky
21117,Kenton County,Kentucky
21145,McCracken County,Kentucky
21151,Madison County,Kentucky
21185,Oldham County,Kentucky
21227,Warren County,Kentucky
22005,Ascension Parish,Louisiana
22015,Bossier Parish,Louisiana
22017,Caddo Parish,Louisiana
22019,Calcasieu Parish,Louisiana
22033,East Baton Rouge Parish,Louisiana
22045,Iberia Parish,Louisiana
22051,Jefferson Parish,Louisiana
22055,Lafayette Parish,Louisiana
22057,Lafourche Parish,Louisiana
22063,Livingston Parish,Louisiana
22071,Orleans Parish,Louisiana
22073,Ouachita Parish,Louisiana
22079,Rapides Parish,Louisiana
22097,St. Landry Parish,Louisiana
22103,St. Tammany Parish,Louisiana
22105,Tangipahoa Parish,Louisiana
22109,Terrebonne Parish,Louisiana
23001,Androscoggin County,Maine
23003,Aroostook County,Maine
23005,Cumberland County,Maine
23011,Kennebec County,Maine
23019,Penobscot County,Maine
23031,York County,Maine
24001,Allegany County,Maryland
24003,Anne Arundel County,Maryland
24005,Baltimore County,Maryland
24009,Calvert County,Maryland
24013,Carroll County,Maryland
24015,Cecil County,Maryland
24017,Charles County,Maryland
24021,Frederick County,Maryland
24025,Harford County,Maryland
24027,Howard County,Maryland
24031,Montgomery County,Maryland
24033,Prince George's County,Maryland
24037,St. Mary's County,Maryland
24043,Washington County,Maryland
24045,Wicomico County,Maryland
24510,Baltimore city,Maryland
25001,Barnstable County,Massachusetts
25003,Berkshire County,Massachusetts
25005,Bristol County,Massachusetts
25009,Essex County,Massachusetts
25011,Franklin County,Massachusetts
25013,Hampden County,Massachusetts
25015,Hampshire County,Massachusetts
25017,Middlesex County,Massachusetts
25021,Norfolk County,Massachusetts
25023,Plymouth County,Massachusetts
25025,Suffolk County,Massachusetts
25027,Worcester County,Massachusetts
26005,Allegan County,Michigan
26017,Bay County,Michigan
26021,Berrien County,Michigan
26025,Calhoun County,Michigan
26037,Clinton County,Michigan
26045,Eaton County,Michigan
26049,Genesee County,Michigan
26055,Grand Traverse County,Michigan
26065,Ingham County,Michigan
26073,Isabella County,Michigan
26075,Jackson County,Michigan
26077,Kalamazoo County,Michigan
26081,Kent County,Michigan
26087,Lapeer County,Michigan
26091,Lenawee County,Michigan
26093,Livingston County,Michigan
26099,Macomb County,Michigan
26103,Marquette County,Michigan
26111,Midland County,Michigan
26115,Monroe County,Michigan
26121,Muskegon County,Michigan
26125,Oakland County,Michigan
26139,Ottawa County,Michigan
26145,Saginaw County,Michigan
26147,St. Clair County,Michigan
26155,Shiawassee County,Michigan
26159,Van Buren County,Michigan
26161,Washtenaw County,Michigan
26163,Wayne County,Michigan
27003,Anoka County,Minnesota
27013,Blue Earth County,Minnesota
27019,Carver County,Minnesota
27037,Dakota County,Minnesota
27053,Hennepin County,Minnesota
27109,Olmsted County,Minnesota
27123,Ramsey County,Minnesota
27131,Rice County,Minnesota
27137,St. Louis County,Minnesota
27139,Scott County,Minnesota
27141,Sherburne County,Minnesota
27145,Stearns County,Minnesota
27163,Washington County,Minnesota
27171,Wright County,Minnesota
28033,DeSoto County,Mississippi
28035,Forrest County,Mississippi
28047,Harrison County,Mississippi
28049,Hinds County,Mississippi
28059,Jackson County,Mississippi
28067,Jones County,Mississippi
28075,Lauderdale County,Mississippi
28081,Lee County,Mississippi
28089,Madison County,Mississippi
28121,Rankin County,Mississippi
29019,Boone County,Missouri
29021,Buchanan County,Missouri
29031,Cape Girardeau County,Missouri
29037,Cass County,Missouri
29043,Christian County,Missouri
29047,Clay County,Missouri
29051,Cole County,Missouri
29071,Franklin County,Missouri
29077,Greene County,Missouri
29095,Jackson County,Missouri
29097,Jasper County,Missouri
29099,Jefferson County,Missouri
29165,Platte County,Missouri
29183,St. Charles County,Missouri
29187,St. Francois County,Missouri
29189,St. Louis County,Missouri
29510,St. Louis city,Missouri
30013,Cascade County,Montana
30029,Flathead County,Montana
30031,Gallatin County,Montana
30049,Lewis and Clark County,Montana
30063,Missoula County,Montana
30111,Yellowstone County,Montana
31055,Douglas County,Nebraska
31109,Lancaster County,Nebraska
31153,Sarpy County,Nebraska
32003,Clark County,Nevada
32031,Washoe County,Nevada
33005,Cheshire County,New Hampshire
33009,Grafton County,New Hampshire
33011,Hillsborough County,New Hampshire
33013,Merrimack County,New Hampshire
33015,Rockingham County,New Hampshire
33017,Strafford County,New Hampshire
34001,Atlantic County,New Jersey
34003,Bergen County,New Jersey
34005,Burlington County,New Jersey
34007,Camden County,New Jersey
34009,Cape May County,New Jersey
34011,Cumberland County,New Jersey
34013,Essex County,New Jersey
34015,Gloucester County,New Jersey
34017,Hudson County,New Jersey
34019,Hunterdon County,New Jersey
34021,Mercer County,New Jersey
34023,Middlesex County,New Jersey
34025,Monmouth County,New Jersey
34027,Morris County,New Jersey
34029,Ocean County,New Jersey
34031,Passaic County,New Jersey
34033,Salem County,New Jersey
34035,Somerset County,New Jersey
34037,Sussex County,New Jersey
34039,Union County,New Jersey
34041,Warren County,New Jersey
35001,Bernalillo County,New Mexico
35005,Chaves County,New Mexico
35013,Doña Ana County,New Mexico
35025,Lea County,New Mexico
35031,McKinley County,New Mexico
35035,Otero County,New Mexico
35043,Sandoval County,New Mexico
35045,San Juan County,New Mexico
35049,Santa Fe County,New Mexico
35061,Valencia County,New Mexico
36001,Albany County,New York
36005,Bronx County,New York
36007,Broome County,New York
36009,Cattaraugus County,New York
36011,Cayuga County,New York
36013,Chautauqua County,New York
36015,Chemung County,New York
36019,Clinton County,New York
36027,Dutchess County,New York
36029,Erie County,New York
36045,Jefferson County,New York
36047,Kings County,New York
36051,Livingston County,New York
36053,Madison County,New York
36055,Monroe County,New York
36059,Nassau County,New York
36061,New York County,New York
36063,Niagara County,New York
36065,Oneida County,New York
36067,Onondaga County,New York
36069,Ontario County,New York
36071,Orange County,New York
36075,Oswego County,New York
36079,Putnam County,New York
36081,Queens County,New York
36083,Rensselaer County,New York
36085,Richmond County,New York
36087,Rockland County,New York
36089,St. Lawrence County,New York
36091,Saratoga County,New York
36093,Schenectady County,New York
36101,Steuben County,New York
36103,Suffolk County,New York
36105,Sullivan County,New York
36109,Tompkins County,New York
36111,Ulster County,New York
36113,Warren County,New York
36117,Wayne County,New York
36119,Westchester County,New York
37001,Alamance County,North Carolina
37019,Brunswick County,North Carolina
37021,Buncombe County,North Carolina
37023,Burke County,North Carolina
37025,Cabarrus County,North Carolina
37027,Caldwell County,North Carolina
37031,Carteret County,North Carolina
37035,Catawba County,North Carolina
37037,Chatham County,North Carolina
37045,Cleveland County,North Carolina
37049,Craven County,North Carolina
37051,Cumberland County,North Carolina
37057,Davidson County,North Carolina
37063,Durham County,North Carolina
37067,Forsyth County,North Carolina
37069,Franklin County,North Carolina
37071,Gaston County,North Carolina
37081,Guilford County,North Carolina
37085,Harnett County,North Carolina
37089,Henderson County,North Carolina
37097,Iredell County,North Carolina
37101,Johnston County,North Carolina
37109,Lincoln County,North Carolina
37119,Mecklenburg County,North Carolina
37125,Moore County,North Carolina
37127,Nash County,North Carolina
37129,New Hanover County,North Carolina
37133,Onslow County,North Carolina
37135,Orange County,North Carolina
37147,Pitt County,North Carolina
37151,Randolph County,North Carolina
37155,Robeson County,North Carolina
37157,Rockingham County,North Carolina
37159,Rowan County,North Carolina
37161,Rutherford County,North Carolina
37171,Surry County,North Carolina
37179,Union County,North Carolina
37183,Wake County,North Carolina
37191,Wayne County,North Carolina
37193,Wilkes County,North Carolina
37195,Wilson County,North Carolina
38015,Burleigh County,North Dakota
38017,Cass County,North Dakota
38035,Grand Forks County,North Dakota
38101,Ward County,North Dakota
39003,Allen County,Ohio
39007,Ashtabula County,Ohio
39009,Athens County,Ohio
39013,Belmont County,Ohio
39017,Butler County,Ohio
39023,Clark County,Ohio
39025,Clermont County,Ohio
39029,Columbiana County,Ohio
39035,Cuyahoga County,Ohio
39041,Delaware County,Ohio
39043,Erie County,Ohio
39045,Fairfield County,Ohio
39049,Franklin County,Ohio
39055,Geauga County,Ohio
39057,Greene County,Ohio
39061,Hamilton County,Ohio
39063,Hancock County,Ohio
39081,Jefferson County,Ohio
39085,Lake County,Ohio
39089,Licking County,Ohio
39093,Lorain County,Ohio
39095,Lucas County,Ohio
39099,Mahoning County,Ohio
39101,Marion County,Ohio
39103,Medina County,Ohio
39109,Miami County,Ohio
39113,Montgomery County,Ohio
39119,Muskingum County,Ohio
39133,Portage County,Ohio
39139,Richland County,Ohio
39141,Ross County,Ohio
39145,Scioto County,Ohio
39151,Stark County,Ohio
39153,Summit County,Ohio
39155,Trumbull County,Ohio
39157,Tuscarawas County,Ohio
39165,Warren County,Ohio
39169,Wayne County,Ohio
39173,Wood County,Ohio
40017,Canadian County,Oklahoma
40027,Cleveland County,Oklahoma
40031,Comanche County,Oklahoma
40037,Creek County,Oklahoma
40101,Muskogee County,Oklahoma
40109,Oklahoma County,Oklahoma
40119,Payne County,Oklahoma
40125,Pottawatomie County,Oklahoma
40131,Rogers County,Oklahoma
40143,Tulsa County,Oklahoma
40145,Wagoner County,Oklahoma
41003,Benton County,Oregon
41005,Clackamas County,Oregon
41017,Deschutes County,Oregon
41019,Douglas County,Oregon
41029,Jackson County,Oregon
41033,Josephine County,Oregon
41035,Klamath County,Oregon
41039,Lane County,Oregon
41043,Linn County,Oregon
41047,Marion County,Oregon
41051,Multnomah County,Oregon
41053,Polk County,Oregon
41059,Umatilla County,Oregon
41067,Washington County,Oregon
41071,Yamhill County,Oregon
42001,Adams County,Pennsylvania
42003,Allegheny County,Pennsylvania
42005,Armstrong County,Pennsylvania
42007,Beaver County,Pennsylvania
42011,Berks County,Pennsylvania
42013,Blair County,Pennsylvania
42017,Bucks County,Pennsylvania
42019,Butler County,Pennsylvania
42021,Cambria County,Pennsylvania
42025,Carbon County,Pennsylvania
42027,Centre County,Pennsylvania
42029,Chester County,Pennsylvania
42033,Clearfield County,Pennsylvania
42037,Columbia County,Pennsylvania
42039,Crawford County,Pennsylvania
42041,Cumberland County,Pennsylvania
42043,Dauphin County,Pennsylvania
42045,Delaware County,Pennsylvania
42049,Erie County,Pennsylvania
42051,Fayette County,Pennsylvania
42055,Franklin County,Pennsylvania
42063,Indiana County,Pennsylvania
42069,Lackawanna County,Pennsylvania
42071,Lancaster County,Pennsylvania
42073,Lawrence County,Pennsylvania
42075,Lebanon County,Pennsylvania
42077,Lehigh County,Pennsylvania
42079,Luzerne County,Pennsylvania
42081,Lycoming County,Pennsylvania
42085,Mercer County,Pennsylvania
42089,Monroe County,Pennsylvania
42091,Montgomery County,Pennsylvania
42095,Northampton County,Pennsylvania
42097,Northumberland County,Pennsylvania
42101,Philadelphia County,Pennsylvania
42107,Schuylkill County,Pennsylvania
42111,Somerset County,Pennsylvania
42125,Washington County,Pennsylvania
42129,Westmoreland County,Pennsylvania
42133,York County,Pennsylvania
44003,Kent County,Rhode Island
44005,Newport County,Rhode Island
44007,Providence County,Rhode Island
44009,Washington County,Rhode Island
45003,Aiken County,South Carolina
45007,Anderson County,South Carolina
45013,Beaufort County,South Carolina
45015,Berkeley County,South Carolina
45019,Charleston County,South Carolina
45031,Darlington County,South Carolina
45035,Dorchester County,South Carolina
45041,Florence County,South Carolina
45045,Greenville County,South Carolina
45047,Greenwood County,South Carolina
45051,Horry County,South Carolina
45055,Kershaw County,South Carolina
45057,Lancaster County,South Carolina
45059,Laurens County,South Carolina
45063,Lexington County,South Carolina
45073,Oconee County,South Carolina
45075,Orangeburg County,South Carolina
45077,Pickens County,South Carolina
45079,Richland County,South Carolina
45083,Spartanburg County,South Carolina
45085,Sumter County,South Carolina
45091,York County,South Carolina
46099,Minnehaha County,South Dakota
46103,Pennington County,South Dakota
47001,Anderson County,Tennessee
47009,Blount County,Tennessee
47011,Bradley County,Tennessee
47037,Davidson County,Tennessee
47059,Greene County,Tennessee
47065,Hamilton County,Tennessee
47093,Knox County,Tennessee
47113,Madison County,Tennessee
47119,Maury County,Tennessee
47125,Montgomery County,Tennessee
47141,Putnam County,Tennessee
47147,Robertson County,Tennessee
47149,Rutherford County,Tennessee
47155,Sevier County,Tennessee
47157,Shelby County,Tennessee
47163,Sullivan County,Tennessee
47165,Sumner County,Tennessee
47179,Washington County,Tennessee
47187,Williamson County,Tennessee
47189,Wilson County,Tennessee
48005,Angelina County,Texas
48021,Bastrop County,Texas
48027,Bell County,Texas
48029,Bexar County,Texas
48037,Bowie County,Texas
48039,Brazoria County,Texas
48041,Brazos County,Texas
48061,Cameron County,Texas
48085,Collin County,Texas
48091,Comal County,Texas
48099,Coryell County,Texas
48113,Dallas County,Texas
48121,Denton County,Texas
48135,Ector County,Texas
48139,Ellis County,Texas
48141,El Paso County,Texas
48157,Fort Bend County,Texas
48167,Galveston County,Texas
48181,Grayson County,Texas
48183,Gregg County,Texas
48187,Guadalupe County,Texas
48201,Harris County,Texas
48203,Harrison County,Texas
48209,Hays County,Texas
48213,Henderson County,Texas
48215,Hidalgo County,Texas
48231,Hunt County,Texas
48245,Jefferson County,Texas
48251,Johnson County,Texas
48257,Kaufman County,Texas
48291,Liberty County,Texas
48303,Lubbock County,Texas
48309,McLennan County,Texas
48329,Midland County,Texas
48339,Montgomery County,Texas
48347,Nacogdoches County,Texas
48355,Nueces County,Texas
48361,Orange County,Texas
48367,Parker County,Texas
48375,Potter County,Texas
48381,Randall County,Texas
48397,Rockwall County,Texas
48409,San Patricio County,Texas
48423,Smith County,Texas
48439,Tarrant County,Texas
48441,Taylor County,Texas
48451,Tom Green County,Texas
48453,Travis County,Texas
48469,Victoria County,Texas
48471,Walker County,Texas
48479,Webb County,Texas
48485,Wichita County,Texas
48491,Williamson County,Texas
48497,Wise County,Texas
49005,Cache County,Utah
49011,Davis County,Utah
49035,Salt Lake County,Utah
49045,Tooele County,Utah
49049,Utah County,Utah
49053,Washington County,Utah
49057,Weber County,Utah
50007,Chittenden County,Vermont
51003,Albemarle County,Virginia
51013,Arlington County,Virginia
51015,Augusta County,Virginia
51019,Bedford County,Virginia
51041,Chesterfield County,Virginia
51059,Fairfax County,Virginia
51061,Fauquier County,Virginia
51069,Frederick County,Virginia
51085,Hanover County,Virginia
51087,Henrico County,Virginia
51095,James City County,Virginia
51107,Loudoun County,Virginia
51121,Montgomery County,Virginia
51153,Prince William County,Virginia
51161,Roanoke County,Virginia
51165,Rockingham County,Virginia
51177,Spotsylvania County,Virginia
51179,Stafford County,Virginia
51199,York County,Virginia
51510,Alexandria city,Virginia
51550,Chesapeake city,Virginia
51650,Hampton city,Virginia
51680,Lynchburg city,Virginia
51700,Newport News city,Virginia
51710,Norfolk city,Virginia
51740,Portsmouth city,Virginia
51760,Richmond city,Virginia
51770,Roanoke city,Virginia
51800,Suffolk city,Virginia
51810,Virginia Beach city,Virginia
53005,Benton County,Washington
53007,Chelan County,Washington
53009,Clallam County,Washington
53011,Clark County,Washington
53015,Cowlitz County,Washington
53021,Franklin County,Washington
53025,Grant County,Washington
53027,Grays Harbor County,Washington
53029,Island County,Washington
53033,King County,Washington
53035,Kitsap County,Washington
53041,Lewis County,Washington
53045,Mason County,Washington
53053,Pierce County,Washington
53057,Skagit County,Washington
53061,Snohomish County,Washington
53063,Spokane County,Washington
53067,Thurston County,Washington
53073,Whatcom County,Washington
53077,Yakima County,Washington
54003,Berkeley County,West Virginia
54011,Cabell County,West Virginia
54033,Harrison County,West Virginia
54039,Kanawha County,West Virginia
54061,Monongalia County,West Virginia
54081,Raleigh County,West Virginia
54107,Wood County,West Virginia
55009,Brown County,Wisconsin
55025,Dane County,Wisconsin
55027,Dodge County,Wisconsin
55035,Eau Claire County,Wisconsin
55039,Fond du Lac County,Wisconsin
55055,Jefferson County,Wisconsin
55059,Kenosha County,Wisconsin
55063,La Crosse County,Wisconsin
55071,Manitowoc County,Wisconsin
55073,Marathon County,Wisconsin
55079,Milwaukee County,Wisconsin
55087,Outagamie County,Wisconsin
55089,Ozaukee County,Wisconsin
55097,Portage County,Wisconsin
55101,Racine County,Wisconsin
55105,Rock County,Wisconsin
55109,St. Croix County,Wisconsin
55117,Sheboygan County,Wisconsin
55127,Walworth County,Wisconsin
55131,Washington County,Wisconsin
55133,Waukesha County,Wisconsin
55139,Winnebago County,Wisconsin
55141,Wood County,Wisconsin
56021,Laramie County,Wyoming
56025,Natrona County,Wyoming
72013,Arecibo Municipio,Puerto Rico
72021,Bayamón Municipio,Puerto Rico
72025,Caguas Municipio,Puerto Rico
72031,Carolina Municipio,Puerto Rico
72061,Guaynabo Municipio,Puerto Rico
72097,Mayagüez Municipio,Puerto Rico
72113,Ponce Municipio,Puerto Rico
72127,San Juan Municipio,Puerto Rico
72135,Toa Alta Municipio,Puerto Rico
72137,Toa Baja Municipio,Puerto Rico
72139,Trujillo Alto Municipio,Puerto Rico
